ts	phase	decision	why	evidence	result
2026-09-04T08:24:29Z	ground	recorded clean main at 0323fd561357c57fdcd72277ef5e7df95867aa93	preserve existing work and bind the baseline to an exact source state	git rev-parse HEAD	clean baseline
2026-09-04T08:24:30Z	ground	recorded the existing full test, strict type, and lint gates before implementation	separate regressions introduced by this feature from pre-existing failures	uv run pytest -q; uv run mypy --strict src; uv run ruff check .	1475 tests passed; mypy and Ruff clean
2026-09-04T08:50:00Z	architecture	accepted isolated grouped feed with five contract repairs	preserve MCP latency while proving tag resolution crash convergence and operational eligibility	Pro Oracle verdict plus source trace	ADR 0008 records caller contract types state machines ownership and failures
2026-09-04T09:28:00Z	implementation	implemented one supervised routines lifecycle with strict grouped history tag-only seeding a five-table account-scoped store and signed delivery	complete the narrow vertical slice without sharing request-path state	src/things_orchestrator/routines*.py plus cloud.py cli.py server.py service.py diagnostics.py	optional service-only worker composes behind the existing eight-tool MCP contract
2026-09-04T09:42:00Z	review	applied the fresh comment-focused review and encoded strict test typing in CI	remove stale suppression comments and make the reviewed constraints executable	no-comments review plus .github/workflows/ci.yml	12 suppression lines removed 1 intentional negative-test ignore retained and all accepted findings fixed
2026-09-04T09:51:00Z	proof	proved the feature through deterministic unit integration concurrency privacy and performance tests	bind completion claims to repeatable local evidence	uv run pytest -q; uv run mypy --strict src; uv run ruff check .; strict mypy on five routines test modules	1573 tests passed in 10.03 seconds; both mypy gates and Ruff clean
2026-09-04T10:02:04Z	packaging	validated metadata links instructions and isolated fresh archives	prove the changed public tree and package contents without deleting prior artifacts or releasing	scripts/check_release.py metadata links instructions archives; git diff --check	all checks passed and one fresh sdist plus wheel contained only approved files
2026-09-04T10:08:23Z	documentation	updated installation operations trust recovery and maintainer guides plus ADR 0008	make privacy traffic backup recovery supervision and live acceptance boundaries explicit	docs/install.md docs/operations.md docs/trust.md docs/recovery.md docs/maintainer.md docs/adr/0008-opt-in-routines-worker.md; changed-prose unslop scan	changed prose contains no selected AI stock phrases or dash substitutions
2026-09-04T10:08:24Z	performance	measured bounded seeding polling and request-path independence	prove the acceptance contract without flaky elapsed-time assertions	test_large_tag_seed_keeps_only_exact_ai_tags_and_no_historical_tasks; test_idle_caught_up_worker_polls_at_most_once_per_interval; test_blocked_routines_cloud_call_does_not_delay_health_or_mcp_tools	6000 historical tasks across 240 groups retained 2 AI tag IDs and no candidates or events; polls occurred at 0 60 and 120 seconds; health read receipt and mutation crossed the barrier before the blocked poll
2026-09-04T10:08:25Z	architecture	reconciled the initial type sketch with the implemented contracts	make deviations deliberate and reviewable rather than implicit	ADR 0008 plus routines modules	added HistoryEvent HistoryBatch and typed identity reset; added tag-only bootstrap; collapsed delivery attempts and dead letters into events; added zero-resource lifecycle factory socket gate service marker and process lock
2026-09-04T10:08:26Z	acceptance	kept live and release actions outside this implementation slice	the automated suite cannot prove unsupported provider behavior or owner infrastructure	git status and local fake-based tests	no commit deploy merge release or live Things Cloud Hermes or Grok connection; owner-run acceptance remains documented
2026-09-04T10:08:27Z	packaging	clarified the isolated archive command because the workspace dist directory retains prior versions	preserve existing build artifacts while keeping the proof rerunnable	uv build --out-dir <fresh-dir>; uv run python scripts/check_release.py archives --dist-dir <fresh-dir>	v0.9.1 sdist and wheel passed from an isolated temporary directory; bare archives against multi-version dist is not the proof command
2026-09-04T10:15:15Z	proof	closed the trail review release-blocking test gaps	cover every named crash retry ownership privacy and readiness boundary before owner handoff	routines store runtime and config tests	reset preserves pending delivered and dead rows; crash points before insert after insert before commit and after commit converge; maximum age and timeout-after-send converge; per-operation SQLite ownership exception rendering and concrete Uvicorn readiness are proved
2026-09-04T10:15:16Z	proof	reran the complete gates after proof-gap closure	bind final claims to the final working tree	uv run pytest -q; uv run mypy --strict src; strict mypy on five routines test modules; uv run ruff check .; targeted routine-file RUF100; git diff --check	1580 tests passed in 9.17 seconds with 2 pre-existing fork warnings; both mypy gates ordinary Ruff targeted RUF100 and diff check clean
2026-09-04T10:17:10Z	packaging	rebuilt and checked archives after the final SQLite connection fix	ensure package proof represents the final source tree rather than the older artifacts retained in dist	uv build --out-dir /var/folders/y2/rzxfbdr53x1bkj52r3j0v0rr0000gn/T/tmp.EfV89RxDks; uv run python scripts/check_release.py archives --dist-dir /var/folders/y2/rzxfbdr53x1bkj52r3j0v0rr0000gn/T/tmp.EfV89RxDks	fresh final-tree v0.9.1 sdist and wheel passed; existing dist artifacts remain untouched and are not the proof artifacts
2026-09-04T10:17:55Z	cleanup	removed only the two stale v0.9.1 workspace artifacts created by the earlier pre-fix build	avoid leaving misleading ignored package files while preserving prior owner artifacts	explicit removal of dist/things_orchestrator-0.9.1-py3-none-any.whl and dist/things_orchestrator-0.9.1.tar.gz	the pre-existing v0.9.0 wheel and sdist remain untouched; final-tree proof artifacts remain in the recorded temporary directory
2026-09-04T10:47:35Z	review	fixed Devin's regressed-head seeding finding with a failing-first regression test	prevent a lower later history head from leaving the durable projection permanently in seeding	test_regressed_head_during_seed_is_a_typed_reset_signal	failed before the fix because no reset signal was raised; passes after routing the regression through RoutineHistoryIdentityChanged without cursor or tag advancement
